||Spoken Word|7|Sunday
|*|Rock|8|Sunday
|*|Secwepemcstin|9|Sunday
|*|World|10|Sunday
|*|Rock|11|Sunday
|*|DD|12|Sunday
|*|Secwepemcstin|13|Sunday
|*|Reggae|14|Sunday
|*|Traditional|15|Sunday
|*|Jazz|16|Sunday
|*|Secwepemcstin|17|Sunday
||Spoken Word|18|Sunday
|*|Blues|19|Sunday
|*|R&B|20|Sunday
|*|Hip Hop|21|Sunday
|*|Rock|22|Sunday
|*|Hip Hop|23|Sunday
|*|Metal|0|Monday
||Spoken Word|7|Monday
|*|Rock|8|Monday
|*|Secwepemcstin|9|Monday
|*|World|10|Monday
|*|Rock|11|Monday
||SpokenWord|12|Monday
|*|Secwepemcstin|13|Monday
|*|World|14|Monday
||Traditional|15|Monday
|*|Jazz|16|Monday
|*|Secwepemcstin|17|Monday
||Spoken Word|18|Monday
|*|Rock|19|Monday
|*|R&B|20|Monday
|*|Hip Hop|21|Monday
|*|Hip Hop|22|Monday
|*|Hip Hop|23|Monday
|*|Metal|0|Tuesday
||Spoken Word|7|Tuesday
|*|Country|8|Tuesday
|*|Secwepemcstin|9|Tuesday
|*|World|10|Tuesday
|*|Rock|11|Tuesday
||SpokenWord|12|Tuesday
|*|Secwepemcstin|13|Tuesday
|*|*|14|Tuesday
|*|Traditional|15|Tuesday
|*|Rock|16|Tuesday
|*|Secwepemcstin|17|Tuesday
||Spoken Word|18|Tuesday
|*|FolkWorld|19|Tuesday
|*|R&B|20|Tuesday
|*|World|21|Tuesday
|*|*|22|Tuesday
|*|*|23|Tuesday
|*|Metal|0|Wednesday
||Spoken Word|7|Wednesday
|*|FolkWorld|8|Wednesday
|*|Secwepemcstin|9|Wednesday
|*|World|10|Wednesday
|*|DD|11|Wednesday
|*|Traditional|12|Wednesday
|*|Secwepemcstin|13|Wednesday
|*|Reggae|14|Wednesday
|*|Traditional|15|Wednesday
|*|Rock|16|Wednesday
|*|Secwepemcstin|17|Wednesday
||NSN|18|Wednesday
|*|Rock|19|Wednesday
|*|R&B|20|Wednesday
|*|Hip Hop|21|Wednesday
||Hip Hop|22|Wednesday
|*|Hip Hop|23|Wednesday
|*|Metal|0|Thursday
||Spoken Word|7|Thursday
|*|Country|8|Thursday
|*|Secwepemcstin|9|Thursday
|*|Classic Rock|10|Thursday
|*|Rock|11|Thursday
|*|DD|12|Thursday
|*|Secwepemcstin|13|Thursday
|*|Rock|14|Thursday
|*|Traditional|15|Thursday
|*|Rock|16|Thursday
|*|Secwepemcstin|17|Thursday
||SpokenWord|18|Thursday
||Rock|19|Thursday
|*|Reggae|20|Thursday
||SpokenWord|21|Thursday
|*|Rock|22|Thursday
||Spoken Word|23|Thursday
|*|Metal|0|Friday
||Spoken Word|7|Friday
|*|Country|8|Friday
|*|Secwepemcstin|9|Friday
|*|World|10|Friday
|*|BikeShow|11|Friday
|*|Jazz|12|Friday
|*|Secwepemcstin|13|Friday
|*|Jazz|14|Friday
|*|Traditional|15|Friday
|*|Blues|16|Friday
|*|Secwepemcstin|17|Friday
||Spoken Word|18|Friday
|*|Rock|19|Friday
|*|R&B|20|Friday
||Rock|21|Friday
|*|Hip Hop|22|Friday
|*|Hip Hop|23|Friday
|*|Metal|0|Saturday
||Spoken Word|7|Saturday
|*|Rock|8|Saturday
|*|Secwepemcstin|9|Saturday
|*|World|10|Saturday
|*|Country|11|Saturday
||Punk|12|Saturday
|*|Punk|13|Saturday
|*|Traditional|14|Saturday
|*|Rock|15|Saturday
|*|Reggae|16|Saturday
|*|Secwepemcstin|17|Saturday
||Rock|18|Saturday
||Rock|19|Saturday
||Rock|20|Saturday
|*|Hip Hop|21|Saturday
|*|Reggae|22|Saturday
|*|Hip Hop|23|Saturday
|*|Metal|0|Sunday
|*|Rock|1|Sunday
|*|Rock|1|Monday
|*|Rock|1|Tuesday
|*|Rock|1|Wednesday
|*|Rock|1|Thursday
|*|Rock|1|Friday
|*|Rock|1|Saturday
|*|Rock|2|Sunday
|*|Rock|2|Monday
|*|Rock|2|Tuesday
|*|Rock|2|Wednesday
|*|Rock|2|Thursday
|*|Rock|2|Friday
|*|Rock|2|Saturday
|*|Rock|3|Sunday
|*|Rock|3|Monday
|*|Rock|3|Tuesday
|*|Rock|3|Wednesday
|*|Rock|3|Thursday
|*|Rock|3|Friday
|*|Rock|3|Saturday
|*|Rock|4|Sunday
|*|Rock|4|Monday
|*|Rock|4|Tuesday
|*|Rock|4|Wednesday
|*|Rock|4|Thursday
|*|Rock|4|Friday
|*|Rock|4|Saturday
|*|Rock|5|Sunday
|*|Rock|5|Monday
|*|Rock|5|Tuesday
|*|Rock|5|Wednesday
|*|Rock|5|Thursday
|*|Rock|5|Friday
|*|Rock|5|Saturday
|*|Rock|6|Sunday
|*|Rock|6|Monday
|*|Rock|6|Tuesday
|*|Rock|6|Wednesday
|*|Rock|6|Thursday
|*|Rock|6|Friday
|*|Rock|6|Saturday
